IdVenta,FechaVenta,CantidadVenta,MontoVenta,Descuento,MontoFinalVenta,fk_producto,fk_cliente,fk_sucursal
46,28/12/2022,84.85,72.83,56.26,31.86,51,160,93
47,24/11/2022,99.24,8.51,52.13,4.07,19,601,67
48,10/01/2023,41.65,61.67,24.19,46.75,64,393,25
49,08/01/2023,63.78,52.11,83.93,8.37,35,199,56
50,14/12/2022,69.43,22.44,44.68,12.41,75,965,4
51,08/11/2022,93.67,25.71,45.58,13.99,45,8,96
52,21/12/2022,90.8,10.67,81.37,1.99,51,987,45
53,22/12/2022,70.67,55.79,32.61,37.6,43,988,20
54,25/11/2022,88.19,14.3,35.62,9.21,4,947,18
55,17/12/2022,84.11,40.56,49.38,20.53,83,551,54
56,29/10/2022,75.49,85.17,21.15,67.16,81,659,73
57,10/11/2022,32.66,26.96,6.58,25.19,48,128,66
58,24/11/2022,55.77,3.44,84.84,0.52,56,31,84
59,10/01/2023,33.46,79.54,53.47,37.01,45,665,32
60,04/12/2022,99.9,98.36,29.02,69.82,102,179,47
61,11/11/2022,56.22,13.5,32.43,9.12,8,895,102
62,25/12/2022,48.66,58.96,26.51,43.33,55,842,99
63,25/11/2022,39.36,25.74,57.02,11.06,49,800,56
64,21/11/2022,77.11,15.87,82.89,2.72,18,385,102
65,19/11/2022,8.55,79.43,78.54,17.05,40,771,48
66,31/12/2022,13.8,74.91,55.91,33.03,96,835,51
67,02/01/2023,43.85,33.92,12.54,29.67,3,233,54
68,02/12/2022,12.97,3.64,63.9,1.31,78,695,12
69,18/12/2022,50.33,21.0,88.75,2.36,15,22,97
70,24/11/2022,17.79,42.97,29.15,30.44,83,224,33
71,28/11/2022,53.24,43.5,93.49,2.83,18,742,95
72,27/12/2022,51.42,9.19,81.82,1.67,56,284,101
73,08/01/2023,97.67,94.2,73.09,25.35,52,331,80
74,20/11/2022,69.84,37.49,60.34,14.87,65,357,73
75,11/01/2023,7.26,0.59,49.81,0.3,95,519,37
76,22/11/2022,68.06,46.5,65.26,16.15,64,618,28
77,08/12/2022,37.38,90.26,69.48,27.55,40,730,18
78,14/01/2023,17.11,57.33,89.59,5.97,59,983,86
79,13/01/2023,37.49,16.77,51.32,8.16,68,491,66
80,20/12/2022,54.83,64.98,22.57,50.31,46,496,89
81,31/10/2022,82.51,44.23,37.27,27.75,30,504,63
82,25/11/2022,51.08,87.37,66.03,29.68,81,714,76
83,30/11/2022,86.46,71.92,22.89,55.46,18,262,50
84,19/12/2022,87.85,17.74,22.26,13.79,68,319,73
85,14/12/2022,16.7,41.6,63.78,15.07,38,121,59
86,31/12/2022,99.97,36.36,78.32,7.88,40,191,66
87,18/11/2022,56.25,90.21,49.5,45.56,45,634,79
88,13/11/2022,75.36,75.21,78.51,16.16,29,306,92
89,11/11/2022,42.66,75.82,70.24,22.56,81,700,75
90,24/10/2022,61.98,62.81,40.47,37.39,75,378,82
91,06/11/2022,84.43,2.31,24.48,1.74,50,514,60
92,19/11/2022,51.21,44.52,73.39,11.85,42,852,28
93,18/11/2022,11.17,4.81,49.43,2.43,76,166,89
94,06/12/2022,38.29,61.91,91.3,5.39,43,822,85
95,30/10/2022,98.02,74.94,72.13,20.89,44,297,6
96,28/10/2022,3.46,30.57,67.58,9.91,17,764,65
97,28/11/2022,85.8,60.22,40.91,35.58,25,241,94
98,24/12/2022,37.55,84.08,45.75,45.61,61,248,31
99,24/12/2022,71.09,24.32,84.74,3.71,96,537,79
100,17/12/2022,37.64,95.18,7.46,88.08,61,317,78
101,21/12/2022,76.78,23.78,73.4,6.33,40,34,5
102,06/11/2022,92.25,64.11,73.36,17.08,24,66,79
103,03/12/2022,99.33,75.2,72.91,20.37,22,168,77
104,15/12/2022,58.83,67.33,33.36,44.87,80,870,20
105,05/01/2023,35.03,9.01,14.72,7.68,87,991,74
106,16/01/2023,66.58,91.43,72.82,24.85,62,397,66
107,24/11/2022,66.87,55.85,16.2,46.8,33,398,103
108,08/12/2022,23.35,13.41,13.39,11.61,74,625,50
109,21/11/2022,81.08,24.58,1.68,24.17,77,656,17
110,09/12/2022,77.37,19.92,88.14,2.36,102,527,76
111,29/12/2022,11.3,77.67,11.18,68.99,81,536,94
112,30/10/2022,66.79,40.12,11.01,35.7,76,250,54
113,27/12/2022,79.65,31.36,89.05,3.43,8,662,97
114,13/12/2022,66.45,59.59,16.25,49.91,33,589,101
115,31/12/2022,88.92,35.97,85.47,5.23,20,620,6
116,08/11/2022,96.82,21.48,59.96,8.6,72,169,30
117,18/11/2022,94.5,77.0,44.09,43.05,63,746,65
118,01/12/2022,89.59,18.59,59.1,7.6,44,668,78
119,06/12/2022,56.96,20.58,50.84,10.12,11,456,95
120,21/11/2022,42.61,47.05,65.73,16.12,63,325,99
121,19/11/2022,77.06,9.99,8.29,9.16,10,630,69
122,24/12/2022,47.42,76.01,33.11,50.84,37,974,76
123,18/11/2022,15.51,38.18,0.0,38.18,35,339,54
124,30/11/2022,90.89,80.56,0.0,80.56,7,11,23
125,24/12/2022,46.24,81.24,0.0,81.24,39,921,92
126,10/11/2022,11.14,68.47,0.0,68.47,69,833,40
127,25/10/2022,89.13,4.13,0.0,4.13,4,289,55
128,08/01/2023,60.07,92.54,0.0,92.54,66,746,37
129,20/11/2022,3.1,26.35,0.0,26.35,83,811,99
130,13/11/2022,74.7,19.04,0.0,19.04,21,613,25
131,01/12/2022,71.6,78.15,0.0,78.15,64,917,26
132,27/12/2022,88.65,82.24,0.0,82.24,11,809,21
133,03/11/2022,55.42,69.6,0.0,69.6,86,70,75
134,27/11/2022,61.55,34.18,0.0,34.18,44,59,48
135,10/12/2022,92.06,93.68,0.0,93.68,43,437,5
136,06/12/2022,76.89,22.86,0.0,22.86,21,783,33
137,03/11/2022,6.96,74.89,0.0,74.89,68,27,98
138,06/12/2022,68.99,90.58,0.0,90.58,58,252,99
139,26/10/2022,42.35,74.21,0.0,74.21,64,660,91
140,10/01/2023,95.11,43.41,0.0,43.41,28,227,80
141,11/12/2022,89.28,75.05,0.0,75.05,21,42,20
142,21/11/2022,91.24,7.07,0.0,7.07,26,877,25
143,19/12/2022,80.84,83.61,0.0,83.61,83,171,94
144,08/11/2022,16.64,53.54,0.0,53.54,46,453,67
145,13/12/2022,48.19,53.57,0.0,53.57,46,140,67
146,26/10/2022,18.03,96.46,0.0,96.46,68,668,47
147,18/11/2022,49.13,53.67,0.0,53.67,58,614,93
148,28/12/2022,63.41,7.01,0.0,7.01,2,188,62
149,24/10/2022,89.14,66.88,0.0,66.88,52,550,20
150,18/11/2022,55.73,55.93,0.0,55.93,33,657,72
151,07/01/2023,52.32,15.07,0.0,15.07,101,191,32
152,11/12/2022,9.57,5.99,0.0,5.99,18,654,67
153,13/12/2022,4.29,32.64,0.0,32.64,71,156,61
154,24/10/2022,42.18,3.03,0.0,3.03,55,200,72
155,19/12/2022,85.93,83.53,0.0,83.53,50,32,46
156,09/12/2022,55.29,52.54,0.0,52.54,30,553,58
157,06/01/2023,85.65,48.92,0.0,48.92,44,691,11
158,21/11/2022,15.06,50.97,0.0,50.97,36,585,86
159,03/11/2022,40.39,26.7,0.0,26.7,62,667,99
160,06/11/2022,27.85,26.16,0.0,26.16,65,588,68
161,20/11/2022,19.52,56.13,0.0,56.13,89,169,86
162,29/12/2022,55.82,84.47,0.0,84.47,14,189,21
163,12/01/2023,60.38,46.55,0.0,46.55,18,46,85
164,11/12/2022,22.37,17.63,0.0,17.63,53,339,60
165,01/11/2022,42.17,59.99,0.0,59.99,19,143,73
166,10/12/2022,49.47,82.74,0.0,82.74,77,297,95
167,02/11/2022,93.96,0.1,0.0,0.1,90,390,46
168,27/10/2022,87.31,83.28,0.0,83.28,53,708,38
169,03/11/2022,95.72,54.87,0.0,54.87,78,17,69
170,11/01/2023,2.58,34.36,0.0,34.36,11,178,98
171,06/01/2023,76.23,23.56,0.0,23.56,65,69,15
172,24/10/2022,45.32,30.52,0.0,30.52,95,770,99
173,11/12/2022,66.73,53.29,0.0,53.29,74,589,103
174,31/12/2022,46.14,10.82,0.0,10.82,103,165,2
175,03/11/2022,12.3,26.83,0.0,26.83,73,243,25
176,09/01/2023,67.88,46.92,0.0,46.92,52,266,83
177,16/11/2022,45.04,56.39,0.0,56.39,38,348,2
178,17/11/2022,17.64,77.0,0.0,77.0,54,922,59
179,18/12/2022,6.93,32.42,0.0,32.42,50,76,32
180,09/12/2022,4.1,82.62,0.0,82.62,22,578,90
181,22/12/2022,75.8,32.37,0.0,32.37,69,833,62
182,09/12/2022,38.03,66.09,0.0,66.09,102,604,76
183,27/12/2022,14.5,17.75,0.0,17.75,5,491,1
184,16/12/2022,29.58,55.56,0.0,55.56,56,894,16
185,26/11/2022,58.94,75.17,0.0,75.17,17,366,71
186,01/11/2022,20.4,64.55,0.0,64.55,54,390,39
187,01/01/2023,30.92,15.11,0.0,15.11,56,871,93
188,30/12/2022,70.9,70.83,0.0,70.83,85,953,70
189,11/11/2022,33.79,33.59,0.0,33.59,33,11,55
190,19/11/2022,65.35,65.9,0.0,65.9,81,137,41
191,03/01/2023,59.23,95.13,0.0,95.13,49,613,26
192,24/11/2022,96.17,27.66,0.0,27.66,47,624,93
193,28/11/2022,56.12,88.57,0.0,88.57,89,505,23
194,22/12/2022,8.27,83.28,0.0,83.28,20,811,52
195,19/12/2022,52.01,46.2,0.0,46.2,60,134,23
196,31/12/2022,47.96,88.04,0.0,88.04,32,472,39
197,18/12/2022,12.01,98.83,0.0,98.83,46,265,44
198,14/12/2022,55.69,44.98,0.0,44.98,59,303,48
199,16/11/2022,77.64,93.3,0.0,93.3,62,103,41
200,07/12/2022,26.44,51.35,0.0,51.35,38,927,68
201,22/11/2022,45.92,86.89,0.0,86.89,12,624,66
202,19/11/2022,58.95,52.22,0.0,52.22,48,517,94
203,27/10/2022,18.43,58.25,0.0,58.25,99,109,49
204,23/12/2022,49.05,69.02,0.0,69.02,59,761,28
205,14/11/2022,50.38,53.83,0.0,53.83,58,769,43
206,09/11/2022,28.4,81.85,0.0,81.85,32,993,101
207,06/11/2022,51.57,70.79,0.0,70.79,20,263,75
208,02/01/2023,77.61,91.51,0.0,91.51,44,589,18
209,28/11/2022,51.25,85.74,0.0,85.74,84,977,37
210,15/01/2023,30.45,37.48,0.0,37.48,15,846,28
211,28/11/2022,86.02,12.12,0.0,12.12,87,830,50
212,30/12/2022,80.4,80.75,0.0,80.75,67,82,73
213,23/11/2022,99.26,14.52,0.0,14.52,56,982,20
214,27/12/2022,82.69,85.99,0.0,85.99,2,313,24
215,10/12/2022,38.79,78.91,0.0,78.91,19,285,40
216,25/12/2022,79.58,50.61,0.0,50.61,79,433,80
217,01/01/2023,56.83,97.8,0.0,97.8,96,185,6
218,05/12/2022,11.09,55.92,0.0,55.92,49,456,52
219,26/10/2022,86.46,69.23,0.0,69.23,22,951,85
220,26/12/2022,66.65,3.64,0.0,3.64,48,196,48
221,10/11/2022,3.38,21.19,0.0,21.19,27,592,26
222,03/11/2022,5.95,6.04,0.0,6.04,84,814,63
223,01/11/2022,36.51,0.07,0.0,0.07,96,349,69
224,05/01/2023,21.81,43.45,0.0,43.45,47,674,34
225,12/01/2023,33.02,38.54,0.0,38.54,52,249,15
226,14/12/2022,37.51,66.67,0.0,66.67,51,652,81
227,09/01/2023,49.67,63.64,0.0,63.64,48,952,99
228,23/12/2022,35.17,63.33,0.0,63.33,1,329,4
229,23/11/2022,25.33,61.22,0.0,61.22,84,626,94
230,03/01/2023,78.67,74.29,0.0,74.29,11,374,63
231,30/12/2022,61.34,66.27,0.0,66.27,103,778,95
232,29/12/2022,49.67,72.31,0.0,72.31,59,832,35
233,26/11/2022,78.1,92.38,0.0,92.38,71,706,55
234,16/11/2022,41.93,67.9,0.0,67.9,67,497,18
235,08/01/2023,66.82,40.25,0.0,40.25,3,321,70
236,06/01/2023,40.02,13.62,0.0,13.62,48,809,57
237,10/11/2022,92.43,36.38,0.0,36.38,30,350,76
238,16/12/2022,98.61,30.03,0.0,30.03,97,662,40
239,18/11/2022,87.17,60.42,0.0,60.42,22,585,100
240,19/11/2022,9.88,33.72,0.0,33.72,32,416,83
241,14/01/2023,3.17,69.73,0.0,69.73,24,948,22
242,02/01/2023,23.06,12.2,0.0,12.2,47,990,71
243,29/11/2022,12.58,23.62,0.0,23.62,25,98,56
244,21/11/2022,5.14,92.84,0.0,92.84,15,973,88
245,19/12/2022,35.67,59.52,0.0,59.52,90,111,18
246,22/12/2022,39.54,40.09,0.0,40.09,39,608,79
247,07/01/2023,57.36,35.51,0.0,35.51,32,674,75
248,31/12/2022,25.9,58.91,0.0,58.91,28,763,45
249,23/11/2022,89.07,9.93,0.0,9.93,13,405,36
250,30/10/2022,35.89,66.66,0.0,66.66,21,132,86
251,24/12/2022,65.08,49.16,0.0,49.16,90,578,6
252,03/11/2022,9.47,98.03,0.0,98.03,39,721,64
253,28/10/2022,64.02,21.75,0.0,21.75,13,241,73
254,04/01/2023,16.63,38.94,0.0,38.94,47,127,80
255,14/01/2023,25.63,10.83,0.0,10.83,85,524,59
256,12/11/2022,22.35,65.49,0.0,65.49,78,822,70
257,15/11/2022,22.21,10.92,0.0,10.92,78,95,61
258,16/01/2023,5.65,23.22,0.0,23.22,11,144,61
259,01/01/2023,26.03,53.57,0.0,53.57,49,340,95
260,22/12/2022,75.07,33.72,0.0,33.72,82,684,12
261,06/11/2022,4.59,41.0,0.0,41.0,83,937,20
262,14/01/2023,18.12,78.81,0.0,78.81,49,769,21
263,14/12/2022,4.74,72.67,0.0,72.67,6,570,70
264,04/12/2022,99.09,57.05,0.0,57.05,51,696,78
265,17/11/2022,60.12,44.5,0.0,44.5,73,628,99
266,06/01/2023,67.91,81.82,0.0,81.82,97,543,41
267,04/01/2023,58.28,73.7,0.0,73.7,16,14,23
268,11/12/2022,98.9,87.75,0.0,87.75,99,104,96
269,29/10/2022,32.83,36.49,0.0,36.49,58,335,85
270,16/12/2022,71.25,6.11,0.0,6.11,102,708,5
271,09/01/2023,34.38,55.47,0.0,55.47,78,992,64
272,11/11/2022,67.61,78.75,0.0,78.75,46,376,15
273,03/01/2023,3.34,97.69,0.0,97.69,12,427,39
274,06/01/2023,18.81,23.61,0.0,23.61,7,953,3
275,03/12/2022,39.79,88.81,0.0,88.81,87,145,30
276,03/11/2022,16.06,49.28,0.0,49.28,32,930,41
277,01/01/2023,93.49,49.59,0.0,49.59,31,228,15
278,30/12/2022,70.88,71.57,0.0,71.57,30,46,90
279,31/12/2022,41.75,68.18,0.0,68.18,46,412,63
280,30/12/2022,60.64,92.23,0.0,92.23,89,336,71
281,23/11/2022,93.19,57.64,0.0,57.64,28,977,27
282,07/11/2022,45.75,60.55,0.0,60.55,13,380,53
283,30/12/2022,21.12,68.56,0.0,68.56,64,387,44
284,31/10/2022,68.61,74.43,0.0,74.43,77,932,43
285,01/11/2022,60.41,58.88,0.0,58.88,35,590,21
286,20/11/2022,15.04,96.95,0.0,96.95,63,811,71
287,17/11/2022,46.07,93.47,0.0,93.47,21,297,70
288,16/01/2023,43.63,41.67,0.0,41.67,51,529,71
289,02/12/2022,47.92,2.12,0.0,2.12,25,501,19
290,25/12/2022,94.0,21.28,0.0,21.28,15,354,94
291,19/12/2022,15.62,88.63,0.0,88.63,80,593,82
292,06/01/2023,34.02,36.1,0.0,36.1,89,507,17
293,15/11/2022,95.08,36.63,0.0,36.63,73,573,53
294,02/01/2023,10.41,70.46,0.0,70.46,27,540,89
295,12/11/2022,75.66,22.14,0.0,22.14,25,644,92
296,21/11/2022,2.67,61.03,0.0,61.03,84,896,77
297,08/12/2022,54.52,12.83,0.0,12.83,98,955,103
298,08/11/2022,82.1,47.87,0.0,47.87,83,679,76
299,16/01/2023,61.1,55.1,0.0,55.1,47,769,65
300,12/11/2022,57.12,8.16,0.0,8.16,85,396,31
301,04/12/2022,80.32,93.78,0.0,93.78,22,360,11
302,06/01/2023,33.07,15.69,0.0,15.69,34,35,19
303,05/12/2022,80.54,46.27,0.0,46.27,84,713,103
304,03/12/2022,35.45,59.38,0.0,59.38,22,866,66
305,25/12/2022,86.74,76.66,0.0,76.66,60,434,56
306,21/12/2022,77.29,83.61,0.0,83.61,60,639,80
307,12/12/2022,86.55,93.53,0.0,93.53,42,486,44
308,24/11/2022,19.27,53.3,0.0,53.3,5,511,36
309,04/12/2022,62.97,54.57,0.0,54.57,60,105,81
310,30/11/2022,92.51,65.86,0.0,65.86,32,550,55
311,20/11/2022,7.11,31.12,0.0,31.12,62,382,49
312,09/12/2022,21.85,47.24,0.0,47.24,57,719,92
313,13/01/2023,64.29,4.23,0.0,4.23,77,615,17
314,22/12/2022,71.3,42.43,0.0,42.43,6,954,86
315,18/12/2022,59.99,19.72,0.0,19.72,89,927,103
316,08/12/2022,12.95,19.16,0.0,19.16,4,655,70
317,07/11/2022,81.52,9.14,0.0,9.14,35,421,20
318,31/12/2022,58.3,62.47,0.0,62.47,79,63,47
319,03/11/2022,90.15,99.23,0.0,99.23,83,511,20
320,24/11/2022,34.54,87.87,0.0,87.87,101,971,5
321,08/01/2023,3.95,90.42,0.0,90.42,43,295,22
322,10/11/2022,31.46,47.18,0.0,47.18,27,493,55
323,01/12/2022,49.57,3.22,0.0,3.22,17,233,68
324,23/11/2022,99.78,96.31,0.0,96.31,89,102,2
325,05/11/2022,46.48,41.63,0.0,41.63,38,496,42
326,04/12/2022,86.48,16.97,0.0,16.97,45,764,20
327,02/11/2022,33.2,75.06,0.0,75.06,75,729,80
328,02/12/2022,32.33,99.98,0.0,99.98,4,859,61
329,13/11/2022,34.68,17.87,0.0,17.87,47,417,64
330,22/11/2022,29.11,21.27,0.0,21.27,74,138,82
331,22/12/2022,6.81,70.18,0.0,70.18,38,884,69
332,09/01/2023,1.78,29.24,0.0,29.24,16,526,52
333,13/12/2022,27.55,38.75,0.0,38.75,19,908,95
334,14/12/2022,49.48,90.28,0.0,90.28,43,918,58
335,13/11/2022,96.81,53.64,0.0,53.64,58,391,85
336,10/12/2022,54.73,72.34,11.15,64.27,49,493,66
337,17/12/2022,35.51,50.11,0.72,49.75,97,525,11
338,27/11/2022,50.69,55.03,17.21,45.56,35,176,41
339,03/11/2022,99.88,24.9,82.23,4.42,34,439,10
340,24/12/2022,68.55,42.64,62.39,16.04,101,327,27
341,21/12/2022,53.82,45.02,87.03,5.84,13,807,26
342,16/12/2022,79.16,60.07,23.12,46.18,103,704,61
343,06/01/2023,75.9,5.89,48.11,3.06,87,793,78
344,24/10/2022,60.25,89.68,27.42,65.09,73,323,93
345,11/01/2023,86.38,71.61,33.54,47.59,91,132,80
346,14/12/2022,42.94,37.28,90.57,3.52,23,291,98
347,24/12/2022,4.31,35.47,26.63,26.02,1,484,12
348,26/10/2022,91.08,25.03,75.72,6.08,76,238,63
349,11/11/2022,92.45,84.25,7.87,77.62,74,397,76
350,07/11/2022,8.87,24.18,97.16,0.69,94,47,90
351,13/01/2023,21.52,58.18,44.6,32.23,31,845,19
352,16/12/2022,90.13,62.86,64.16,22.53,49,432,20
353,03/12/2022,72.38,32.68,72.29,9.06,97,984,2
354,20/11/2022,35.21,27.35,90.29,2.66,19,966,69
355,03/11/2022,68.63,21.73,88.9,2.41,96,307,79
356,02/01/2023,63.84,90.56,34.33,59.47,26,70,48
357,23/12/2022,4.24,38.65,79.75,7.83,50,627,33
358,08/12/2022,12.44,43.5,97.18,1.23,100,443,96
359,15/12/2022,24.57,30.38,88.19,3.59,67,820,25
360,17/12/2022,20.48,2.35,66.25,0.79,61,524,12
361,11/11/2022,89.71,99.11,44.37,55.13,9,732,103
362,10/11/2022,74.08,91.62,59.55,37.06,85,315,101
363,13/01/2023,48.66,62.27,63.41,22.78,81,386,35
364,12/01/2023,71.86,71.96,90.54,6.81,21,692,35
365,26/12/2022,1.67,55.61,61.35,21.49,49,779,91
366,14/01/2023,42.11,29.88,59.45,12.12,98,440,76
367,30/10/2022,35.89,34.19,33.41,22.77,43,651,90
368,17/11/2022,91.75,8.84,72.94,2.39,58,854,25
369,08/01/2023,5.95,22.08,21.67,17.3,66,972,52
370,11/01/2023,14.41,5.92,60.12,2.36,24,194,64
371,19/12/2022,46.02,18.51,81.22,3.48,47,98,74
372,05/01/2023,52.64,76.21,51.62,36.87,46,603,48
373,23/12/2022,64.77,8.68,68.22,2.76,96,450,57
374,13/12/2022,38.03,34.32,47.05,18.17,33,492,59
375,05/01/2023,47.31,21.61,17.55,17.82,58,625,78
376,22/11/2022,50.23,79.33,91.47,6.77,40,247,65
377,12/01/2023,37.14,46.53,91.11,4.14,35,349,24
378,15/11/2022,82.98,22.13,53.41,10.31,14,233,7
379,11/01/2023,36.36,43.47,26.13,32.11,72,865,73
380,21/12/2022,84.34,55.54,26.81,40.65,17,761,70
381,29/11/2022,73.68,32.97,57.02,14.17,102,964,83
382,18/11/2022,79.55,13.89,68.32,4.4,38,919,22
383,29/10/2022,43.08,1.53,16.97,1.27,30,956,31
384,29/11/2022,52.67,61.18,38.23,37.79,83,354,50
385,25/11/2022,50.11,99.65,50.05,49.78,67,537,50
386,23/11/2022,65.58,23.89,31.35,16.4,56,542,5
387,16/12/2022,91.28,94.36,52.21,45.09,62,389,93
388,22/12/2022,9.77,3.63,35.83,2.33,58,876,56
389,13/01/2023,13.44,88.36,48.24,45.74,51,983,74
390,16/01/2023,48.11,31.74,54.47,14.45,89,849,35
391,22/12/2022,93.66,27.32,89.17,2.96,77,516,46
392,25/10/2022,41.6,19.41,75.53,4.75,18,397,68
393,12/11/2022,5.8,75.15,75.82,18.17,75,107,53
394,30/10/2022,79.99,36.49,14.29,31.28,68,24,40
395,23/12/2022,49.0,30.27,77.2,6.9,45,434,11
396,20/12/2022,50.87,82.55,16.02,69.33,65,256,72
397,27/12/2022,80.44,21.54,72.82,5.85,98,505,84
398,20/12/2022,4.36,83.5,57.67,35.35,44,557,30
399,14/01/2023,63.03,90.43,56.66,39.19,77,697,57
400,16/11/2022,46.21,1.17,34.75,0.76,4,652,22
401,26/11/2022,69.61,82.82,45.4,45.22,43,427,101
402,09/12/2022,72.99,18.5,5.06,17.56,13,543,40
403,28/11/2022,4.21,21.35,48.59,10.98,57,346,80
404,26/11/2022,63.09,7.19,3.71,6.92,90,500,52
405,13/11/2022,84.81,98.24,10.71,87.72,47,146,2
406,14/01/2023,74.8,6.73,75.21,1.67,35,230,41
407,12/01/2023,58.21,25.1,58.43,10.43,58,553,75
408,15/11/2022,76.2,45.13,88.01,5.41,11,459,7
409,05/12/2022,71.28,67.79,69.74,20.51,40,798,6
410,25/11/2022,84.22,47.95,96.03,1.9,46,678,102
411,26/10/2022,99.48,85.42,60.16,34.03,50,233,70
412,07/12/2022,90.44,95.46,58.87,39.26,72,864,84
413,24/10/2022,21.42,56.65,74.62,14.38,96,619,67
414,14/12/2022,36.48,61.15,67.04,20.16,53,805,69
415,24/11/2022,69.76,96.62,86.91,12.65,103,288,91
416,09/11/2022,57.85,4.17,72.43,1.15,75,956,99
417,03/11/2022,31.21,28.58,31.59,19.55,30,765,58
418,20/12/2022,11.03,53.05,80.47,10.36,43,172,55
419,13/01/2023,98.62,67.32,25.06,50.45,15,516,48
420,23/11/2022,78.66,32.27,79.76,6.53,67,473,17
421,15/01/2023,72.35,40.34,53.8,18.64,39,83,53
422,25/12/2022,70.7,20.49,37.43,12.82,69,482,65
423,04/12/2022,64.19,10.07,49.81,5.05,40,965,71
424,24/10/2022,32.76,3.73,40.25,2.23,20,644,19
425,18/12/2022,21.8,36.43,32.38,24.63,56,884,93
426,16/12/2022,12.93,26.93,98.59,0.38,61,676,79
427,17/11/2022,42.3,2.64,92.86,0.19,47,45,53
428,03/01/2023,66.01,33.21,67.34,10.85,82,609,92
429,08/01/2023,66.7,7.75,61.08,3.02,42,313,83
430,23/12/2022,73.24,42.17,11.45,37.34,24,943,59
431,09/12/2022,59.1,21.73,14.24,18.64,97,450,22
432,18/11/2022,35.17,66.09,76.79,15.34,64,77,32
433,28/12/2022,85.52,88.44,85.94,12.43,31,414,103
434,07/11/2022,82.34,18.49,39.28,11.23,103,683,31
435,20/12/2022,99.08,3.64,74.1,0.94,6,99,30
436,16/12/2022,59.28,16.83,6.32,15.77,36,719,67
437,31/10/2022,1.45,84.15,72.25,23.35,75,783,14
438,28/12/2022,6.58,94.09,83.52,15.51,31,222,17
439,13/01/2023,19.46,3.84,73.32,1.02,12,398,93
440,02/11/2022,20.64,75.51,31.9,51.42,31,406,28
441,23/11/2022,88.04,42.78,85.33,6.28,85,419,22
442,24/10/2022,46.43,69.1,11.13,61.41,33,925,52
443,08/01/2023,48.18,17.31,19.01,14.02,23,940,98
444,11/01/2023,44.53,41.15,34.06,27.13,9,290,61
445,30/10/2022,85.11,57.58,6.37,53.91,39,187,95
446,06/12/2022,1.61,94.33,89.64,9.77,58,4,43
447,24/12/2022,9.03,69.24,32.3,46.88,44,506,16
448,19/11/2022,70.25,78.86,26.16,58.23,29,345,32
449,26/10/2022,52.04,30.01,68.23,9.53,103,524,38
450,26/12/2022,66.61,60.34,48.44,31.11,97,791,14
451,26/12/2022,55.73,11.9,64.25,4.25,78,106,36
452,14/01/2023,95.59,18.64,75.31,4.6,7,351,35
453,13/12/2022,81.97,60.27,16.03,50.61,16,929,89
