IdProducto,NombreProd,marca,Contenido,Precio,FechaRegistro
97,Beef - Texas Style Burger,bimbo,20 gr,93.57,2022-12-20
98,Broom - Push,bimbo,30 gr,68.41,2022-10-31
99,Wine - Pinot Grigio Collavini,bimbo,10 gr,53.76,2022-11-25
100,Corn - Mini,bimbo,20 gr,12.56,2022-11-30
101,"Veal - Insides, Grains",bimbo,10 gr,79.92,2022-12-19
102,Pears - Bartlett,bimbo,20 gr,37.3,2022-12-14
103,Spinach - Baby,bimbo,30 gr,75.78,2022-12-31
104,Eggplant - Asian,bimbo,10 gr,30.27,2022-11-18
105,Rice - Jasmine Sented,bimbo,20 gr,48.13,2022-11-13
106,Pork - Shoulder,bimbo,10 gr,70.5,2022-11-11
107,Glass Clear 8 Oz,bimbo,20 gr,11.48,2022-10-24
108,Table Cloth 81x81 Colour,bimbo,30 gr,90.23,2022-11-06
109,Croissants Thaw And Serve,bimbo,10 gr,79.05,2022-11-19
110,"Wine - Harrow Estates, Vidal",bimbo,20 gr,29.26,2022-11-18
111,Taro Leaves,bimbo,10 gr,8.9,2022-12-06
112,Ice Cream - Vanilla,bimbo,20 gr,85.94,2022-10-30
113,"Bread - Rolls, Corn",bimbo,30 gr,79.17,2022-10-28
114,Pimento - Canned,bimbo,10 gr,98.35,2022-11-28
115,Nougat - Paste / Cream,bimbo,20 gr,5.88,2022-12-24
116,Milk 2% 500 Ml,bimbo,10 gr,75.42,2022-12-24
117,Compound - Strawberry,bimbo,20 gr,81.77,2022-12-17
118,Lamb Rack Frenched Australian,bimbo,30 gr,43.55,2022-12-21
119,Lettuce - California Mix,bimbo,10 gr,85.32,2022-11-06
120,Wine - Champagne Brut Veuve,bimbo,20 gr,56.42,2022-11-02
